#session_id	session_type	unit	ecephys_structure_acronym	stimulus	stimulus_blocks	block_durations	rec_len	firing_rates	ret_msg
715093703	brain_observatory_1.1	950911932	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.29,600.19	7.76,8.23	SUCCESS
715093703	brain_observatory_1.1	950911986	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.47,599.28	3.76,3.17	SUCCESS
715093703	brain_observatory_1.1	950912226	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.39,600.24	8.54,8.22	SUCCESS
715093703	brain_observatory_1.1	950912214	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.10,599.89	3.62,7.12	ERR_NON_STATIONARY
715093703	brain_observatory_1.1	950912190	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.10,600.13	2.60,6.27	ERR_NON_STATIONARY
715093703	brain_observatory_1.1	950912164	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.25,600.01	8.47,8.64	SUCCESS
715093703	brain_observatory_1.1	950912283	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.46,600.45	14.98,11.46	ERR_NON_STATIONARY
715093703	brain_observatory_1.1	950912293	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.43,600.42	14.11,14.50	SUCCESS
715093703	brain_observatory_1.1	950912326	VISam	natural_movie_three	3.0,6.0	600.54,600.50	600.09,600.15	3.86,9.43	ERR_NON_STATIONARY
715093703	brain_observatory_1.1	950912396	VISam	natural_movie_three	3.0,6.0	600.54,600.50	597.34,595.00	2.50,2.86	SUCCESS
715093703	brain_observatory_1.1	950912417	VISam	natural_movie_three	3.0,6.0	600.54,600.50	598.59,599.95	1.77,2.46	ERR_NON_STATIONARY
715093703	brain_observatory_1.1	950912473	VISam	natural_movie_three	3.0,6.0	600.54,600.50	599.15,599.26	1.28,1.16	SUCCESS
715093703	brain_observatory_1.1	950912511	VISam	natural_movie_three	3.0,6.0	600.54,600.50	599.36,599.18	1.30,1.09	SUCCESS
715093703	brain_observatory_1.1	950913000	VISam	natural_movie_three	3.0,6.0	600.54,600.50	593.72,597.82	1.53,1.60	SUCCESS
715093703	brain_observatory_1.1	950912591	VISam	natural_movie_three	3.0,6.0	600.54,600.50	592.13,598.87	0.62,0.41	ERR_NON_STATIONARY
715093703	brain_observatory_1.1	950918280	VISpm	natural_movie_three	3.0,6.0	600.54,600.50	598.75,600.35	11.49,11.08	SUCCESS
