#session_id	session_type	unit	ecephys_structure_acronym	stimulus	stimulus_blocks	block_durations	rec_len	firing_rates	ret_msg
766640955	functional_connectivity	950913540	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.16,900.41	5.75,6.01	SUCCESS
766640955	functional_connectivity	950915005	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.32,900.61	3.84,5.57	ERR_NON_STATIONARY
766640955	functional_connectivity	950915018	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	894.54,895.43	0.21,1.85	ERR_NON_STATIONARY
766640955	functional_connectivity	950913798	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	866.75,885.14	0.17,1.25	ERR_NON_STATIONARY
766640955	functional_connectivity	950913832	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	894.30,895.41	0.89,0.94	SUCCESS
766640955	functional_connectivity	950915049	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	884.07,890.44	0.81,0.53	ERR_NON_STATIONARY
766640955	functional_connectivity	950913944	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.64,900.71	19.85,22.50	SUCCESS
766640955	functional_connectivity	950913961	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.52,900.48	3.04,2.62	SUCCESS
766640955	functional_connectivity	950913991	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	898.93,900.17	4.70,8.76	ERR_NON_STATIONARY
766640955	functional_connectivity	950913984	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.55,899.79	7.04,3.46	ERR_NON_STATIONARY
766640955	functional_connectivity	950915073	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.78,900.40	2.07,3.75	ERR_NON_STATIONARY
766640955	functional_connectivity	950914044	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.67,900.60	17.76,14.95	SUCCESS
766640955	functional_connectivity	950915231	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.73,894.88	2.70,1.71	ERR_NON_STATIONARY
766640955	functional_connectivity	950914115	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.26,900.72	3.62,6.67	ERR_NON_STATIONARY
766640955	functional_connectivity	950914078	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.06,900.52	4.83,4.24	SUCCESS
766640955	functional_connectivity	950914064	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.68,900.56	11.32,10.58	SUCCESS
766640955	functional_connectivity	950914057	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.61,900.68	8.07,12.08	ERR_NON_STATIONARY
766640955	functional_connectivity	950914102	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.74,900.56	8.42,14.31	ERR_NON_STATIONARY
766640955	functional_connectivity	950914136	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	882.44,897.85	0.13,1.43	ERR_NON_STATIONARY
766640955	functional_connectivity	950914206	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	898.21,897.20	1.96,1.85	SUCCESS
766640955	functional_connectivity	950914154	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	897.19,898.72	2.51,2.22	SUCCESS
766640955	functional_connectivity	950915111	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	898.98,899.40	1.59,2.19	ERR_NON_STATIONARY
766640955	functional_connectivity	950914243	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.28,899.83	4.38,6.62	ERR_NON_STATIONARY
766640955	functional_connectivity	950914229	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	888.47,891.19	0.20,1.40	ERR_NON_STATIONARY
766640955	functional_connectivity	950914221	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	898.04,898.11	1.73,1.55	SUCCESS
766640955	functional_connectivity	950914271	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.49,900.03	3.11,2.85	SUCCESS
766640955	functional_connectivity	950914263	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.03,900.40	7.67,8.05	SUCCESS
766640955	functional_connectivity	950914406	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.55,900.51	7.60,7.03	SUCCESS
766640955	functional_connectivity	950914396	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	881.18,897.58	1.07,0.44	ERR_NON_STATIONARY
766640955	functional_connectivity	950914595	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.38,898.27	4.00,4.79	SUCCESS
766640955	functional_connectivity	950914573	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.74,900.71	21.91,22.38	SUCCESS
766640955	functional_connectivity	950914624	VISam	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.95,900.02	0.39,0.96	ERR_NON_STATIONARY
766640955	functional_connectivity	950915995	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	861.06,900.09	5.73,3.34	ERR_NON_STATIONARY
766640955	functional_connectivity	950916099	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.46,898.72	4.11,8.93	ERR_NON_STATIONARY
766640955	functional_connectivity	950931063	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.90,900.02	5.68,9.06	ERR_NON_STATIONARY
766640955	functional_connectivity	950931049	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	898.19,898.32	2.65,5.11	ERR_NON_STATIONARY
766640955	functional_connectivity	950923082	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.72,900.20	6.03,7.51	ERR_NON_STATIONARY
766640955	functional_connectivity	950923126	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.59,900.20	8.95,12.32	ERR_NON_STATIONARY
766640955	functional_connectivity	950923112	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.68,900.66	9.99,14.94	ERR_NON_STATIONARY
766640955	functional_connectivity	950923187	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.16,900.11	7.27,10.14	ERR_NON_STATIONARY
766640955	functional_connectivity	950923250	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.41,900.65	7.33,13.99	ERR_NON_STATIONARY
766640955	functional_connectivity	950923237	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.22,900.05	6.56,8.06	ERR_NON_STATIONARY
766640955	functional_connectivity	950923411	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.23,900.68	6.94,9.65	ERR_NON_STATIONARY
766640955	functional_connectivity	950923381	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.23,900.69	12.30,15.61	ERR_NON_STATIONARY
766640955	functional_connectivity	950923327	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.40,900.31	6.20,6.65	SUCCESS
766640955	functional_connectivity	950923314	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	898.81,899.83	7.39,11.11	ERR_NON_STATIONARY
766640955	functional_connectivity	950923487	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.47,900.69	6.25,11.09	ERR_NON_STATIONARY
766640955	functional_connectivity	950923472	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.55,900.60	11.73,12.60	SUCCESS
766640955	functional_connectivity	950923442	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.65,900.65	16.52,21.26	ERR_NON_STATIONARY
766640955	functional_connectivity	950923428	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.55,900.50	6.05,6.50	SUCCESS
766640955	functional_connectivity	950923299	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.31,900.56	5.18,6.27	ERR_NON_STATIONARY
766640955	functional_connectivity	950923631	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.73,900.56	5.03,11.94	ERR_NON_STATIONARY
766640955	functional_connectivity	950923616	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	900.52,900.30	4.87,10.98	ERR_NON_STATIONARY
766640955	functional_connectivity	950923571	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.33,900.62	6.66,7.23	SUCCESS
766640955	functional_connectivity	950923560	LP	natural_movie_one_more_repeats	3.0,8.0	900.75,900.75	899.97,899.70	10.17,9.65	SUCCESS
