#session_id	session_type	unit	ecephys_structure_acronym	stimulus	stimulus_blocks	block_durations	rec_len	firing_rates	ret_msg
766640955	functional_connectivity	950913540	VISam	natural_movie_one_more_repeats	3.0	900.75	899.16	5.75	SUCCESS
766640955	functional_connectivity	950913540	VISam	natural_movie_one_more_repeats	8.0	900.75	900.41	6.01	SUCCESS
766640955	functional_connectivity	950915005	VISam	natural_movie_one_more_repeats	3.0	900.75	900.32	3.84	SUCCESS
766640955	functional_connectivity	950915005	VISam	natural_movie_one_more_repeats	8.0	900.75	900.61	5.57	SUCCESS
766640955	functional_connectivity	950915018	VISam	natural_movie_one_more_repeats	3.0	900.75	894.54	0.21	SUCCESS
766640955	functional_connectivity	950915018	VISam	natural_movie_one_more_repeats	8.0	900.75	895.43	1.85	SUCCESS
766640955	functional_connectivity	950913798	VISam	natural_movie_one_more_repeats	3.0	900.75	866.75	0.17	SUCCESS
766640955	functional_connectivity	950913798	VISam	natural_movie_one_more_repeats	8.0	900.75	885.14	1.25	SUCCESS
766640955	functional_connectivity	950913832	VISam	natural_movie_one_more_repeats	3.0	900.75	894.3	0.89	SUCCESS
766640955	functional_connectivity	950913832	VISam	natural_movie_one_more_repeats	8.0	900.75	895.41	0.94	SUCCESS
766640955	functional_connectivity	950915049	VISam	natural_movie_one_more_repeats	3.0	900.75	884.07	0.81	SUCCESS
766640955	functional_connectivity	950915049	VISam	natural_movie_one_more_repeats	8.0	900.75	890.44	0.53	SUCCESS
766640955	functional_connectivity	950913944	VISam	natural_movie_one_more_repeats	3.0	900.75	900.64	19.85	SUCCESS
766640955	functional_connectivity	950913944	VISam	natural_movie_one_more_repeats	8.0	900.75	900.71	22.5	SUCCESS
766640955	functional_connectivity	950913961	VISam	natural_movie_one_more_repeats	3.0	900.75	899.52	3.04	SUCCESS
766640955	functional_connectivity	950913961	VISam	natural_movie_one_more_repeats	8.0	900.75	900.48	2.62	SUCCESS
766640955	functional_connectivity	950913991	VISam	natural_movie_one_more_repeats	3.0	900.75	898.93	4.7	SUCCESS
766640955	functional_connectivity	950913991	VISam	natural_movie_one_more_repeats	8.0	900.75	900.17	8.76	SUCCESS
766640955	functional_connectivity	950913984	VISam	natural_movie_one_more_repeats	3.0	900.75	900.55	7.04	SUCCESS
766640955	functional_connectivity	950913984	VISam	natural_movie_one_more_repeats	8.0	900.75	899.79	3.46	SUCCESS
766640955	functional_connectivity	950915073	VISam	natural_movie_one_more_repeats	3.0	900.75	899.78	2.07	SUCCESS
766640955	functional_connectivity	950915073	VISam	natural_movie_one_more_repeats	8.0	900.75	900.4	3.75	SUCCESS
766640955	functional_connectivity	950914044	VISam	natural_movie_one_more_repeats	3.0	900.75	900.67	17.76	SUCCESS
766640955	functional_connectivity	950914044	VISam	natural_movie_one_more_repeats	8.0	900.75	900.6	14.95	SUCCESS
766640955	functional_connectivity	950915231	VISam	natural_movie_one_more_repeats	3.0	900.75	899.73	2.7	SUCCESS
766640955	functional_connectivity	950915231	VISam	natural_movie_one_more_repeats	8.0	900.75	894.88	1.71	SUCCESS
766640955	functional_connectivity	950914115	VISam	natural_movie_one_more_repeats	3.0	900.75	900.26	3.62	SUCCESS
766640955	functional_connectivity	950914115	VISam	natural_movie_one_more_repeats	8.0	900.75	900.72	6.67	SUCCESS
766640955	functional_connectivity	950914078	VISam	natural_movie_one_more_repeats	3.0	900.75	900.06	4.83	SUCCESS
766640955	functional_connectivity	950914078	VISam	natural_movie_one_more_repeats	8.0	900.75	900.52	4.24	SUCCESS
766640955	functional_connectivity	950914064	VISam	natural_movie_one_more_repeats	3.0	900.75	900.68	11.32	SUCCESS
766640955	functional_connectivity	950914064	VISam	natural_movie_one_more_repeats	8.0	900.75	900.56	10.58	SUCCESS
